resume_text,jd_text,label,jd_role,candidate_role
"Motivated Cybersecurity Analyst eager to contribute technical expertise. 5 years working in related roles. Hands-on experience with compliance, firewalls, incident response, linux, mentoring, network security, penetration testing, python, risk assessment, siem. Comfortable working independently or in a team.","Machine Learning Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 3+ years of experience and is skilled in deep learning, python, sql, aws, feature engineering, model deployment. Remote-friendly with flexible hours.",0,Machine Learning Engineer,Cybersecurity Analyst
"Motivated Data Scientist eager to contribute technical expertise. Brings 2 years of hands-on industry experience. Hands-on experience with classification, jupyter, pandas, regression, scikit-learn, sql, statistics. Comfortable working independently or in a team.","Join us as a Cybersecurity Analyst and make an impact from day one. Requirements: at least 3 years of relevant experience, with hands-on skills in python, incident response, siem, network security, linux, risk assessment. Competitive salary and benefits offered.",0,Cybersecurity Analyst,Data Scientist
"Cybersecurity Analyst with a proven track record of delivering results. Brings 3 years of hands-on industry experience. Hands-on experience with api testing, compliance, incident response, linux, python, teamwork, test case design. Comfortable working independently or in a team.","Join us as a Data Scientist and make an impact from day one. Requirements: at least 5 years of relevant experience, with hands-on skills in regression, feature engineering, python, scikit-learn, machine learning. Competitive salary and benefits offered.",0,Data Scientist,Cybersecurity Analyst
"Cloud Engineer with a proven track record of delivering results. 10 years working in related roles. Core skills include cloud security, kubernetes, networking, terraform. Continuously learning new tools and technologies.","Join us as a UI/UX Designer and make an impact from day one. The ideal candidate has 6+ years of experience and is skilled in figma, user research, design systems, prototyping, interaction design, adobe xd, wireframing, usability testing. We value problem solving and a growth mindset.",0,UI/UX Designer,Cloud Engineer
"Detail-oriented Data Analyst with hands-on experience across projects. 6 years working in related roles. Proficient in a/b testing, data visualization, excel, leadership, pandas, power bi, python, reporting, teamwork. Known for strong communication and teamwork.","Our company is looking for an experienced QA Engineer to help us scale. You should have 2+ years in the field and be comfortable with test case design, regression testing, api testing, test automation, ci/cd, selenium. Remote-friendly with flexible hours.",0,QA Engineer,Data Analyst
"Experienced Frontend Developer with a passion for building great products. Has 7 years of professional experience. Hands-on experience with html, javascript, mentoring, react, redux, time management. Known for strong communication and teamwork.","Join us as a Cloud Engineer and make an impact from day one. You should have 1+ years in the field and be comfortable with azure, linux, terraform, gcp, kubernetes, cloud security. Remote-friendly with flexible hours.",0,Cloud Engineer,Frontend Developer
"Mobile Developer with a proven track record of delivering results. Brings 7 years of hands-on industry experience. Hands-on experience with android, communication, git, kotlin, mentoring, react native, swift. Comfortable working independently or in a team.","Machine Learning Engineer wanted for a fast-paced, collaborative environment. You should have 2+ years in the field and be comfortable with sql, model deployment, tensorflow, aws, deep learning, pytorch, docker. We value problem solving and a growth mindset.",0,Machine Learning Engineer,Mobile Developer
"Experienced Cybersecurity Analyst with a passion for building great products. Brings 2 years of hands-on industry experience. Hands-on experience with compliance, firewalls, incident response, network security, penetration testing, problem solving, python, risk assessment, siem, teamwork. Continuously learning new tools and technologies.","Join us as a Cybersecurity Analyst and make an impact from day one. Requirements: at least 2 years of relevant experience, with hands-on skills in python, risk assessment, network security, linux, compliance, firewalls, incident response, siem. Strong communication and teamwork are a plus.",1,Cybersecurity Analyst,Cybersecurity Analyst
"Detail-oriented Data Analyst with hands-on experience across projects. Has 10 years of professional experience. Proficient in a/b testing, data visualization, excel, power bi, project management, python, tableau. Known for strong communication and teamwork.","Machine Learning Engineer wanted for a fast-paced, collaborative environment. You should have 7+ years in the field and be comfortable with mlops, python, tensorflow, sql, model deployment. Competitive salary and benefits offered.",1,Machine Learning Engineer,Data Analyst
"Product Manager with a proven track record of delivering results. 4 years working in related roles. Proficient in agile, communication, data analysis, deep learning, jira, product roadmap, product strategy, tensorflow, user research. Continuously learning new tools and technologies.","Join us as a Frontend Developer and make an impact from day one. The ideal candidate has 1+ years of experience and is skilled in responsive design, typescript, html, accessibility, css. Remote-friendly with flexible hours.",0,Frontend Developer,Product Manager
"Detail-oriented DevOps Engineer with hands-on experience across projects. Brings 0 years of hands-on industry experience. Hands-on experience with ansible, bash, kubernetes, monitoring, teamwork. Continuously learning new tools and technologies.","Frontend Developer wanted for a fast-paced, collaborative environment. You should have 4+ years in the field and be comfortable with react, css, responsive design, accessibility, html, javascript, webpack, redux. Strong communication and teamwork are a plus.",0,Frontend Developer,DevOps Engineer
"UI/UX Designer with a proven track record of delivering results. Has 4 years of professional experience. Core skills include adobe xd, aws, design systems, figma, interaction design, jenkins, prototyping, user research, wireframing. Comfortable working independently or in a team.","We are hiring a Product Manager to join our growing team. You should have 7+ years in the field and be comfortable with stakeholder management, product roadmap, jira, data analysis, scrum, user research. Strong communication and teamwork are a plus.",0,Product Manager,UI/UX Designer
"Detail-oriented QA Engineer with hands-on experience across projects. 5 years working in related roles. Proficient in jira, project management, regression testing, selenium, test case design. Continuously learning new tools and technologies.","Join us as a Cybersecurity Analyst and make an impact from day one. Requirements: at least 4 years of relevant experience, with hands-on skills in penetration testing, firewalls, compliance, network security, linux, siem, incident response. Competitive salary and benefits offered.",0,Cybersecurity Analyst,QA Engineer
"Experienced Product Manager with a passion for building great products. 9 years working in related roles. Proficient in communication, data analysis, jira, mentoring, product roadmap, product strategy, scrum, teamwork, user research. Known for strong communication and teamwork.","Our company is looking for an experienced Frontend Developer to help us scale. The ideal candidate has 3+ years of experience and is skilled in rest api, accessibility, react, typescript, css, webpack, javascript, redux. Competitive salary and benefits offered.",0,Frontend Developer,Product Manager
"Detail-oriented Machine Learning Engineer with hands-on experience across projects. Has 0 years of professional experience. Proficient in deep learning, docker, machine learning, mlops, python, pytorch, siem, tensorflow. Known for strong communication and teamwork.","Join us as a Mobile Developer and make an impact from day one. You should have 3+ years in the field and be comfortable with android, rest api, swift, git, ios, mobile ui design. Remote-friendly with flexible hours.",0,Mobile Developer,Machine Learning Engineer
"Mobile Developer with a proven track record of delivering results. Has 6 years of professional experience. Core skills include ios, kotlin, mobile ui design, swift. Comfortable working independently or in a team.","Our company is looking for an experienced Mobile Developer to help us scale. The ideal candidate has 2+ years of experience and is skilled in git, react native, mobile ui design, rest api, android, ios, kotlin, swift. We value problem solving and a growth mindset.",0,Mobile Developer,Mobile Developer
"Detail-oriented DevOps Engineer with hands-on experience across projects. 6 years working in related roles. Hands-on experience with ansible, bash, docker, jenkins, linux, networking. Continuously learning new tools and technologies.","Join us as a QA Engineer and make an impact from day one. The ideal candidate has 4+ years of experience and is skilled in selenium, manual testing, api testing, regression testing, python. Remote-friendly with flexible hours.",0,QA Engineer,DevOps Engineer
"Detail-oriented QA Engineer with hands-on experience across projects. Brings 3 years of hands-on industry experience. Core skills include api testing, jira, manual testing, python, regression testing, selenium, teamwork, test automation, test case design. Known for strong communication and teamwork.","We are hiring a Machine Learning Engineer to join our growing team. You should have 6+ years in the field and be comfortable with sql, model deployment, deep learning, feature engineering, pytorch. Strong communication and teamwork are a plus.",0,Machine Learning Engineer,QA Engineer
"Motivated Machine Learning Engineer eager to contribute technical expertise. Has 7 years of professional experience. Proficient in deep learning, docker, feature engineering, machine learning, model deployment, python, pytorch, sql, tensorflow. Continuously learning new tools and technologies.","Product Manager wanted for a fast-paced, collaborative environment. Requirements: at least 6 years of relevant experience, with hands-on skills in product strategy, scrum, communication, data analysis, stakeholder management, user research, jira. We value problem solving and a growth mindset.",1,Product Manager,Machine Learning Engineer
"Experienced Frontend Developer with a passion for building great products. 8 years working in related roles. Proficient in css, git, html, javascript, redux, responsive design, typescript, webpack. Comfortable working independently or in a team.","Data Scientist wanted for a fast-paced, collaborative environment. Requirements: at least 1 years of relevant experience, with hands-on skills in machine learning, statistics, feature engineering, numpy, a/b testing, python, sql. Strong communication and teamwork are a plus.",0,Data Scientist,Frontend Developer
"QA Engineer with a proven track record of delivering results. Brings 1 years of hands-on industry experience. Core skills include api testing, ci/cd, jira, leadership, python, teamwork, test case design. Known for strong communication and teamwork.","We are hiring a Backend Developer to join our growing team. The ideal candidate has 5+ years of experience and is skilled in microservices, celery, django, unit testing, python. Strong communication and teamwork are a plus.",0,Backend Developer,QA Engineer
"Experienced Frontend Developer with a passion for building great products. Has 8 years of professional experience. Core skills include accessibility, css, git, html, javascript, react, responsive design, rest api, typescript, webpack. Comfortable working independently or in a team.","Our company is looking for an experienced Mobile Developer to help us scale. The ideal candidate has 6+ years of experience and is skilled in react native, android, swift, git, flutter, ios, kotlin. Remote-friendly with flexible hours.",0,Mobile Developer,Frontend Developer
"Detail-oriented QA Engineer with hands-on experience across projects. Has 10 years of professional experience. Core skills include ci/cd, jira, python, selenium, teamwork, test automation, test case design, time management. Known for strong communication and teamwork.","Join us as a Frontend Developer and make an impact from day one. You should have 4+ years in the field and be comfortable with javascript, webpack, accessibility, html, typescript, rest api, git, responsive design. Competitive salary and benefits offered.",1,Frontend Developer,QA Engineer
"Experienced Product Manager with a passion for building great products. Brings 10 years of hands-on industry experience. Core skills include communication, data analysis, jira, mentoring, product roadmap, product strategy, scrum, stakeholder management, user research. Continuously learning new tools and technologies.","Our company is looking for an experienced Data Analyst to help us scale. The ideal candidate has 3+ years of experience and is skilled in power bi, pandas, python, excel, sql, reporting, a/b testing, tableau. Strong communication and teamwork are a plus.",0,Data Analyst,Product Manager
"Motivated DevOps Engineer eager to contribute technical expertise. 1 years working in related roles. Hands-on experience with aws, bash, ci/cd, docker, jenkins, kubernetes, linux, monitoring, networking, problem solving, terraform. Comfortable working independently or in a team.","Our company is looking for an experienced Mobile Developer to help us scale. The ideal candidate has 4+ years of experience and is skilled in ios, mobile ui design, android, rest api, flutter, kotlin, react native. Competitive salary and benefits offered.",0,Mobile Developer,DevOps Engineer
"Experienced Cloud Engineer with a passion for building great products. Has 6 years of professional experience. Core skills include aws, azure, ci/cd, cloud security, docker, gcp, kubernetes, linux, project management, terraform. Continuously learning new tools and technologies.","Our company is looking for an experienced Cloud Engineer to help us scale. Requirements: at least 2 years of relevant experience, with hands-on skills in docker, linux, networking, terraform, kubernetes, ci/cd, cloud security, aws. Remote-friendly with flexible hours.",1,Cloud Engineer,Cloud Engineer
"Experienced QA Engineer with a passion for building great products. Has 5 years of professional experience. Core skills include api testing, jira, project management, selenium, test case design. Comfortable working independently or in a team.","We are hiring a Cloud Engineer to join our growing team. The ideal candidate has 4+ years of experience and is skilled in azure, kubernetes, docker, gcp, networking, ci/cd. We value problem solving and a growth mindset.",0,Cloud Engineer,QA Engineer
"Experienced Product Manager with a passion for building great products. Has 10 years of professional experience. Hands-on experience with agile, communication, data analysis, data visualization, feature engineering, jira, product roadmap, product strategy, scrum, stakeholder management, user research. Known for strong communication and teamwork.","Join us as a Product Manager and make an impact from day one. You should have 7+ years in the field and be comfortable with data analysis, jira, stakeholder management, communication, user research, agile, product roadmap, product strategy. Remote-friendly with flexible hours.",1,Product Manager,Product Manager
"Detail-oriented Cloud Engineer with hands-on experience across projects. Has 0 years of professional experience. Core skills include aws, azure, bash, ci/cd, gcp, problem solving, project management. Comfortable working independently or in a team.","We are hiring a Cybersecurity Analyst to join our growing team. You should have 5+ years in the field and be comfortable with linux, siem, firewalls, risk assessment, network security, compliance, penetration testing. We value problem solving and a growth mindset.",0,Cybersecurity Analyst,Cloud Engineer
"Detail-oriented Data Scientist with hands-on experience across projects. Brings 2 years of hands-on industry experience. Core skills include a/b testing, classification, feature engineering, numpy, python, regression, statistics, teamwork. Comfortable working independently or in a team.","Our company is looking for an experienced Data Scientist to help us scale. Requirements: at least 2 years of relevant experience, with hands-on skills in sql, machine learning, pandas, feature engineering, a/b testing, numpy, data visualization. Strong communication and teamwork are a plus.",0,Data Scientist,Data Scientist
"Experienced Backend Developer with a passion for building great products. Has 10 years of professional experience. Hands-on experience with django, docker, git, jupyter, machine learning, postgresql, python, rest api, unit testing. Continuously learning new tools and technologies.","Join us as a Backend Developer and make an impact from day one. The ideal candidate has 5+ years of experience and is skilled in rest api, celery, microservices, redis, git. Competitive salary and benefits offered.",0,Backend Developer,Backend Developer
"Detail-oriented Product Manager with hands-on experience across projects. Brings 4 years of hands-on industry experience. Hands-on experience with communication, data analysis, jira, product roadmap, project management, scrum, stakeholder management, teamwork, user research. Known for strong communication and teamwork.","Our company is looking for an experienced Machine Learning Engineer to help us scale. You should have 7+ years in the field and be comfortable with sql, pytorch, feature engineering, machine learning, model deployment, aws, tensorflow, mlops. Remote-friendly with flexible hours.",0,Machine Learning Engineer,Product Manager
"Experienced DevOps Engineer with a passion for building great products. 2 years working in related roles. Core skills include ansible, aws, bash, ci/cd, communication, jenkins, linux, networking, python, regression testing, terraform, time management. Known for strong communication and teamwork.","Our company is looking for an experienced Cloud Engineer to help us scale. You should have 7+ years in the field and be comfortable with aws, gcp, azure, ci/cd, cloud security, terraform, kubernetes. Competitive salary and benefits offered.",0,Cloud Engineer,DevOps Engineer
"Cybersecurity Analyst with a proven track record of delivering results. 0 years working in related roles. Proficient in data visualization, firewalls, incident response, linux, pandas, penetration testing, problem solving, python, risk assessment, siem. Comfortable working independently or in a team.","We are hiring a UI/UX Designer to join our growing team. You should have 1+ years in the field and be comfortable with adobe xd, interaction design, usability testing, prototyping, design systems, user research. Strong communication and teamwork are a plus.",0,UI/UX Designer,Cybersecurity Analyst
"Product Manager with a proven track record of delivering results. Has 9 years of professional experience. Hands-on experience with aws, data analysis, feature engineering, jira, product roadmap, product strategy, stakeholder management, time management. Known for strong communication and teamwork.","Cybersecurity Analyst wanted for a fast-paced, collaborative environment. The ideal candidate has 4+ years of experience and is skilled in incident response, siem, python, risk assessment, penetration testing, compliance, network security. Competitive salary and benefits offered.",0,Cybersecurity Analyst,Product Manager
"Experienced Frontend Developer with a passion for building great products. Brings 3 years of hands-on industry experience. Core skills include accessibility, communication, css, html, javascript, product strategy, redux, responsive design, time management, webpack. Continuously learning new tools and technologies.","Frontend Developer wanted for a fast-paced, collaborative environment. You should have 6+ years in the field and be comfortable with git, css, rest api, typescript, react, redux, javascript. Remote-friendly with flexible hours.",0,Frontend Developer,Frontend Developer
"Motivated Data Scientist eager to contribute technical expertise. Brings 9 years of hands-on industry experience. Proficient in classification, feature engineering, pandas, python. Known for strong communication and teamwork.","Our company is looking for an experienced Data Scientist to help us scale. The ideal candidate has 1+ years of experience and is skilled in scikit-learn, statistics, pandas, a/b testing, python, classification, regression, data visualization. We value problem solving and a growth mindset.",0,Data Scientist,Data Scientist
"Detail-oriented Backend Developer with hands-on experience across projects. Has 9 years of professional experience. Proficient in communication, django, docker, postgresql, python, teamwork. Continuously learning new tools and technologies.","Join us as a Data Analyst and make an impact from day one. The ideal candidate has 5+ years of experience and is skilled in data visualization, pandas, tableau, sql, python. Remote-friendly with flexible hours.",1,Data Analyst,Backend Developer
"Mobile Developer with a proven track record of delivering results. 1 years working in related roles. Proficient in android, flutter, git, ios, kotlin, mobile ui design, project management, rest api, swift. Continuously learning new tools and technologies.","We are hiring a Data Scientist to join our growing team. Requirements: at least 5 years of relevant experience, with hands-on skills in sql, classification, pandas, a/b testing, regression, scikit-learn, jupyter. Remote-friendly with flexible hours.",0,Data Scientist,Mobile Developer
"Data Analyst with a proven track record of delivering results. Has 10 years of professional experience. Proficient in a/b testing, data visualization, excel, pandas, power bi, python, reporting, statistics. Continuously learning new tools and technologies.","Join us as a Data Analyst and make an impact from day one. You should have 3+ years in the field and be comfortable with reporting, a/b testing, power bi, excel, statistics, sql, python, tableau. Competitive salary and benefits offered.",1,Data Analyst,Data Analyst
"Detail-oriented Mobile Developer with hands-on experience across projects. Has 0 years of professional experience. Proficient in android, flutter, git, ios, mobile ui design, react native, rest api, swift. Continuously learning new tools and technologies.","We are hiring a Cloud Engineer to join our growing team. Requirements: at least 2 years of relevant experience, with hands-on skills in networking, kubernetes, terraform, azure, ci/cd. We value problem solving and a growth mindset.",0,Cloud Engineer,Mobile Developer
"DevOps Engineer with a proven track record of delivering results. Brings 3 years of hands-on industry experience. Proficient in ansible, aws, ci/cd, docker, figma, kubernetes, monitoring, usability testing. Known for strong communication and teamwork.","Our company is looking for an experienced DevOps Engineer to help us scale. The ideal candidate has 4+ years of experience and is skilled in bash, ci/cd, networking, monitoring, linux, aws, ansible, kubernetes. Competitive salary and benefits offered.",1,DevOps Engineer,DevOps Engineer
"Experienced Frontend Developer with a passion for building great products. Has 1 years of professional experience. Proficient in accessibility, css, git, html, jira, manual testing, react, redux, responsive design. Known for strong communication and teamwork.","Cybersecurity Analyst wanted for a fast-paced, collaborative environment. The ideal candidate has 7+ years of experience and is skilled in firewalls, incident response, siem, python, network security, linux. Strong communication and teamwork are a plus.",0,Cybersecurity Analyst,Frontend Developer
"Detail-oriented QA Engineer with hands-on experience across projects. 2 years working in related roles. Hands-on experience with ci/cd, manual testing, python, regression testing, selenium, test automation. Comfortable working independently or in a team.","Our company is looking for an experienced QA Engineer to help us scale. Requirements: at least 3 years of relevant experience, with hands-on skills in regression testing, jira, api testing, selenium, test automation, ci/cd, manual testing. We value problem solving and a growth mindset.",1,QA Engineer,QA Engineer
"UI/UX Designer with a proven track record of delivering results. Brings 9 years of hands-on industry experience. Core skills include adobe xd, design systems, mentoring, problem solving, prototyping, wireframing. Continuously learning new tools and technologies.","Mobile Developer wanted for a fast-paced, collaborative environment. You should have 4+ years in the field and be comfortable with flutter, mobile ui design, react native, git, ios, rest api. Remote-friendly with flexible hours.",0,Mobile Developer,UI/UX Designer
"Motivated Mobile Developer eager to contribute technical expertise. 1 years working in related roles. Hands-on experience with android, flutter, git, ios, kotlin, swift, teamwork. Continuously learning new tools and technologies.","Backend Developer wanted for a fast-paced, collaborative environment. Requirements: at least 5 years of relevant experience, with hands-on skills in git, unit testing, postgresql, rest api, python, redis, sql. Remote-friendly with flexible hours.",0,Backend Developer,Mobile Developer
"Experienced Machine Learning Engineer with a passion for building great products. Brings 6 years of hands-on industry experience. Hands-on experience with aws, deep learning, docker, machine learning, mentoring, mlops, model deployment, problem solving, python, sql, tensorflow. Continuously learning new tools and technologies.","Machine Learning Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 2+ years of experience and is skilled in pytorch, deep learning, aws, mlops, python, docker. Competitive salary and benefits offered.",1,Machine Learning Engineer,Machine Learning Engineer
"Motivated Frontend Developer eager to contribute technical expertise. 2 years working in related roles. Proficient in accessibility, css, project management, responsive design, rest api, webpack. Comfortable working independently or in a team.","Join us as a Frontend Developer and make an impact from day one. Requirements: at least 6 years of relevant experience, with hands-on skills in css, accessibility, git, responsive design, react, typescript, redux, rest api. Strong communication and teamwork are a plus.",0,Frontend Developer,Frontend Developer
"Frontend Developer with a proven track record of delivering results. Has 1 years of professional experience. Hands-on experience with accessibility, css, git, ios, react, rest api, teamwork, time management, webpack. Continuously learning new tools and technologies.","We are hiring a Data Analyst to join our growing team. You should have 3+ years in the field and be comfortable with tableau, statistics, pandas, data visualization, a/b testing, python, power bi. Strong communication and teamwork are a plus.",0,Data Analyst,Frontend Developer
"Motivated Data Scientist eager to contribute technical expertise. Brings 3 years of hands-on industry experience. Hands-on experience with git, kotlin, leadership, numpy, pandas, regression, sql, statistics. Continuously learning new tools and technologies.","We are hiring a Cybersecurity Analyst to join our growing team. Requirements: at least 3 years of relevant experience, with hands-on skills in network security, penetration testing, siem, linux, incident response, compliance, firewalls, risk assessment. Strong communication and teamwork are a plus.",0,Cybersecurity Analyst,Data Scientist
"Detail-oriented UI/UX Designer with hands-on experience across projects. Has 2 years of professional experience. Proficient in aws, design systems, figma, interaction design, model deployment, prototyping, usability testing, user research, wireframing. Continuously learning new tools and technologies.","Join us as a Product Manager and make an impact from day one. You should have 1+ years in the field and be comfortable with stakeholder management, product strategy, scrum, agile, product roadmap, data analysis, communication. We value problem solving and a growth mindset.",0,Product Manager,UI/UX Designer
"Experienced DevOps Engineer with a passion for building great products. Brings 3 years of hands-on industry experience. Proficient in ansible, docker, jenkins, kubernetes, leadership, linux, networking, teamwork, terraform. Known for strong communication and teamwork.","Mobile Developer wanted for a fast-paced, collaborative environment. You should have 6+ years in the field and be comfortable with android, kotlin, ios, flutter, swift, git, react native, rest api. Strong communication and teamwork are a plus.",0,Mobile Developer,DevOps Engineer
"Experienced UI/UX Designer with a passion for building great products. Has 9 years of professional experience. Core skills include adobe xd, deep learning, design systems, figma, prototyping, tensorflow, usability testing, user research, wireframing. Known for strong communication and teamwork.","We are hiring a UI/UX Designer to join our growing team. You should have 3+ years in the field and be comfortable with adobe xd, user research, usability testing, prototyping, wireframing, interaction design, figma, design systems. We value problem solving and a growth mindset.",1,UI/UX Designer,UI/UX Designer
"Detail-oriented Product Manager with hands-on experience across projects. 1 years working in related roles. Core skills include data analysis, jira, product roadmap, product strategy, user research. Comfortable working independently or in a team.","Our company is looking for an experienced QA Engineer to help us scale. The ideal candidate has 3+ years of experience and is skilled in selenium, test automation, regression testing, manual testing, api testing, python. Strong communication and teamwork are a plus.",1,QA Engineer,Product Manager
"Experienced Backend Developer with a passion for building great products. Brings 2 years of hands-on industry experience. Hands-on experience with celery, django, docker, microservices, redis, rest api. Known for strong communication and teamwork.","Our company is looking for an experienced Data Scientist to help us scale. The ideal candidate has 2+ years of experience and is skilled in classification, sql, scikit-learn, feature engineering, statistics. Strong communication and teamwork are a plus.",0,Data Scientist,Backend Developer
"Detail-oriented Data Analyst with hands-on experience across projects. Brings 3 years of hands-on industry experience. Hands-on experience with communication, data visualization, excel, mentoring, pandas, reporting, sql, statistics, tableau. Comfortable working independently or in a team.","We are hiring a Data Analyst to join our growing team. Requirements: at least 2 years of relevant experience, with hands-on skills in a/b testing, tableau, statistics, pandas, sql, excel. Competitive salary and benefits offered.",1,Data Analyst,Data Analyst
"Experienced QA Engineer with a passion for building great products. Has 9 years of professional experience. Proficient in api testing, ci/cd, jira, leadership, manual testing, mentoring, python, regression testing, selenium, test automation, test case design, user research, wireframing. Comfortable working independently or in a team.","Our company is looking for an experienced Backend Developer to help us scale. Requirements: at least 7 years of relevant experience, with hands-on skills in sql, django, microservices, postgresql, docker, unit testing. We value problem solving and a growth mindset.",0,Backend Developer,QA Engineer
"Detail-oriented DevOps Engineer with hands-on experience across projects. 3 years working in related roles. Core skills include ansible, aws, bash, docker, feature engineering, jenkins, kubernetes, linux, monitoring, networking, scikit-learn, terraform. Known for strong communication and teamwork.","DevOps Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 4+ years of experience and is skilled in jenkins, ci/cd, docker, bash, linux, terraform. Competitive salary and benefits offered.",1,DevOps Engineer,DevOps Engineer
"Detail-oriented Machine Learning Engineer with hands-on experience across projects. 4 years working in related roles. Proficient in ci/cd, feature engineering, jenkins, model deployment, pytorch, sql, teamwork, tensorflow. Comfortable working independently or in a team.","Our company is looking for an experienced Data Scientist to help us scale. The ideal candidate has 2+ years of experience and is skilled in data visualization, pandas, scikit-learn, python, numpy. We value problem solving and a growth mindset.",0,Data Scientist,Machine Learning Engineer
"Motivated Cloud Engineer eager to contribute technical expertise. Brings 2 years of hands-on industry experience. Core skills include azure, ci/cd, cloud security, networking, project management. Comfortable working independently or in a team.","Join us as a Mobile Developer and make an impact from day one. You should have 4+ years in the field and be comfortable with flutter, rest api, ios, kotlin, git. Remote-friendly with flexible hours.",0,Mobile Developer,Cloud Engineer
"Detail-oriented Mobile Developer with hands-on experience across projects. 1 years working in related roles. Proficient in android, flutter, ios, kotlin, react native, rest api, swift. Known for strong communication and teamwork.","We are hiring a QA Engineer to join our growing team. You should have 1+ years in the field and be comfortable with selenium, regression testing, api testing, ci/cd, python, jira, test automation, manual testing. Competitive salary and benefits offered.",0,QA Engineer,Mobile Developer
"Detail-oriented Machine Learning Engineer with hands-on experience across projects. Has 3 years of professional experience. Core skills include aws, deep learning, docker, feature engineering, machine learning, mlops, project management, python, pytorch, redis, sql, tensorflow. Comfortable working independently or in a team.","Our company is looking for an experienced Machine Learning Engineer to help us scale. The ideal candidate has 6+ years of experience and is skilled in feature engineering, sql, mlops, python, deep learning, machine learning, model deployment. Remote-friendly with flexible hours.",0,Machine Learning Engineer,Machine Learning Engineer
"QA Engineer with a proven track record of delivering results. Brings 2 years of hands-on industry experience. Proficient in api testing, ci/cd, jira, manual testing, python, regression testing, selenium, test automation, test case design. Continuously learning new tools and technologies.","Cloud Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 5+ years of experience and is skilled in cloud security, docker, networking, linux, kubernetes, aws, ci/cd, gcp. Competitive salary and benefits offered.",0,Cloud Engineer,QA Engineer
"Experienced DevOps Engineer with a passion for building great products. Has 7 years of professional experience. Proficient in aws, bash, django, docker, jenkins, kubernetes, monitoring, problem solving, sql. Comfortable working independently or in a team.","We are hiring a Mobile Developer to join our growing team. You should have 2+ years in the field and be comfortable with mobile ui design, kotlin, ios, react native, git, flutter. We value problem solving and a growth mindset.",0,Mobile Developer,DevOps Engineer
"Experienced UI/UX Designer with a passion for building great products. Has 5 years of professional experience. Core skills include adobe xd, design systems, figma, interaction design, teamwork, usability testing, user research, wireframing. Continuously learning new tools and technologies.","Data Scientist wanted for a fast-paced, collaborative environment. Requirements: at least 5 years of relevant experience, with hands-on skills in pandas, scikit-learn, jupyter, python, sql. Remote-friendly with flexible hours.",0,Data Scientist,UI/UX Designer
"Detail-oriented Cybersecurity Analyst with hands-on experience across projects. Has 5 years of professional experience. Hands-on experience with firewalls, linux, network security, penetration testing, python, risk assessment, siem. Comfortable working independently or in a team.","Our company is looking for an experienced Frontend Developer to help us scale. Requirements: at least 7 years of relevant experience, with hands-on skills in git, react, rest api, typescript, redux. Remote-friendly with flexible hours.",0,Frontend Developer,Cybersecurity Analyst
"Cloud Engineer with a proven track record of delivering results. Has 7 years of professional experience. Proficient in aws, ci/cd, cloud security, gcp, kubernetes, linux, networking, terraform. Known for strong communication and teamwork.","Join us as a Product Manager and make an impact from day one. Requirements: at least 6 years of relevant experience, with hands-on skills in data analysis, jira, stakeholder management, communication, product roadmap. We value problem solving and a growth mindset.",0,Product Manager,Cloud Engineer
"Detail-oriented Cybersecurity Analyst with hands-on experience across projects. Has 6 years of professional experience. Proficient in bash, compliance, firewalls, incident response, network security, networking, penetration testing, problem solving, risk assessment, siem, time management. Comfortable working independently or in a team.","Join us as a UI/UX Designer and make an impact from day one. Requirements: at least 3 years of relevant experience, with hands-on skills in wireframing, prototyping, usability testing, figma, design systems. We value problem solving and a growth mindset.",0,UI/UX Designer,Cybersecurity Analyst
"UI/UX Designer with a proven track record of delivering results. 10 years working in related roles. Hands-on experience with design systems, figma, interaction design, jira, regression testing, usability testing. Continuously learning new tools and technologies.","Backend Developer wanted for a fast-paced, collaborative environment. The ideal candidate has 5+ years of experience and is skilled in django, postgresql, microservices, rest api, celery. Competitive salary and benefits offered.",0,Backend Developer,UI/UX Designer
"Backend Developer with a proven track record of delivering results. Brings 7 years of hands-on industry experience. Core skills include celery, flask, git, microservices, postgresql, python, redis, sql, unit testing. Continuously learning new tools and technologies.","Join us as a Backend Developer and make an impact from day one. The ideal candidate has 4+ years of experience and is skilled in python, unit testing, git, postgresql, flask, docker, microservices, django. Competitive salary and benefits offered.",1,Backend Developer,Backend Developer
"Detail-oriented Product Manager with hands-on experience across projects. Has 8 years of professional experience. Proficient in agile, communication, data analysis, docker, jira, machine learning, product strategy, scrum, stakeholder management. Comfortable working independently or in a team.","Join us as a Data Scientist and make an impact from day one. Requirements: at least 4 years of relevant experience, with hands-on skills in numpy, regression, scikit-learn, feature engineering, python, classification, sql. We value problem solving and a growth mindset.",0,Data Scientist,Product Manager
"Detail-oriented Product Manager with hands-on experience across projects. Brings 2 years of hands-on industry experience. Hands-on experience with agile, communication, data analysis, jira, stakeholder management, time management. Known for strong communication and teamwork.","Join us as a Product Manager and make an impact from day one. You should have 2+ years in the field and be comfortable with user research, product strategy, data analysis, agile, communication. Remote-friendly with flexible hours.",1,Product Manager,Product Manager
